id,beach_name,latitude,longitude,date,dry_grade,wet_grade,annual_summer_dry,annual_year_wet,annual_winter_dry,annual_year
0,beach1,34.035252,-118.86132,2021-03-29T12:39:31.100Z,A+,A,B-,B-,A,B-
1,beach2,33.741585,-118.379189,2021-04-02T00:00:00.000Z,B-,D,ns,A+,A+,ns
2,beach3,33.510081,-117.752961,2019-04-02T00:00:00.000Z,B,ns,B-,B-,,B-
3,beach4,47.58338521,-122.4022793,2021-04-02T14:00:00.000Z,,A+,,,B-,C-
4,beach5,47.58139059,-122.4063048,2021-03-19T00:00:00.000Z,D,ns,F,C-,ns,A
5,beach1,34.035252,-118.86132,2001-03-29T12:39:31.100Z,C,B-,B-,B-,,
6,beach2,33.741585,-118.379189,2021-04-02T00:00:00.000Z,A,,A+,A,D+,A+
7,beach3,33.510081,-117.752961,2019-05-02T00:00:00.000Z,D+,ns,,C,,
8,beach4,47.58338521,-122.4022793,2021-04-03T14:00:00.000Z,C-,C-,D+,,C-,
9,beach2,33.741585,-118.379189,2021-03-19T00:00:00.000Z,A+,A,B-,B-,A,B-
10,beach3,33.510081,-117.752961,2021-05-29T12:39:31.100Z,B-,D,ns,A+,A+,ns
11,beach5,47.58139059,-122.4063048,2021-04-03T00:00:00.000Z,B,ns,B-,B-,,B-
12,beach1,34.035252,-118.86132,2019-04-04T00:00:00.000Z,,A+,,B-,B-,C-
13,beach4,47.58338521,-122.4022793,2021-07-02T14:00:00.000Z,A+,,B-,B-,A,B-
14,beach5,47.58139059,-122.4063048,2021-03-19T00:00:00.000Z,B-,D,ns,A+,A+,ns
15,beach3,33.510081,-117.752961,2021-03-29T12:39:31.100Z,B,ns,B-,B-,ns,B-
16,beach4,47.58338521,-122.4022793,2021-09-02T00:00:00.000Z,,A+,,B-,B-,C-
17,beach1,34.035252,-118.86132,2019-10-02T00:00:00.000Z,D,ns,F,C-,,A
18,beach2,33.741585,-118.379189,2021-04-03T14:00:00.000Z,C,B-,B-,B-,,
19,beach5,47.58139059,-122.4063048,2021-03-29T00:00:00.000Z,A,,A+,A,D+,A+
